n_species,n_occs,n_singletons,n_endemics,time_bin_duration,range_through_div,n_localities,n_species_area_1,n_species_area_2,n_species_area_3,n_species_area_4,n_species_area_5,n_species_area_6,n_species_area_7,n_species_area_8,n_species_area_9,n_species_area_10,n_species_area_11,n_species_area_12,n_species_area_13,n_occs_area_1,n_occs_area_2,n_occs_area_3,n_occs_area_4,n_occs_area_5,n_occs_area_6,n_occs_area_7,n_occs_area_8,n_occs_area_9,n_occs_area_10,n_occs_area_11,n_occs_area_12,n_occs_area_13,n_locs_area_1,n_locs_area_2,n_locs_area_3,n_locs_area_4,n_locs_area_5,n_locs_area_6,n_locs_area_7,n_locs_area_8,n_locs_area_9,n_locs_area_10,n_locs_area_11,n_locs_area_12,n_locs_area_13,present_diversity
87.43,537.61,0.32,6.21,2.590000000000002,132.18,118.34,0.0,21.53,15.82,0.0,59.62,61.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.03,28.11,0.0,283.85,179.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,5.54,0.0,53.19,50.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82.9,577.98,3.56,5.32,5.069999999999994,132.93,130.19,0.0,10.91,1.28,0.0,57.6,63.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.29,1.28,0.0,293.73,270.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96,0.16,0.0,44.99,81.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.48,1125.09,3.94,7.64,5.800000000000001,156.06,187.82,0.0,33.48,9.62,0.0,90.21,68.38,0.0,3.43,0.0,0.0,0.0,0.0,0.0,0.0,44.72,10.01,0.0,613.86,452.77,0.0,3.73,0.0,0.0,0.0,0.0,0.0,0.0,8.82,1.28,0.0,100.45,75.46,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.0
135.72,1070.32,6.76,13.95,3.899999999999995,175.87,155.34,0.45,56.82,17.72,0.0,99.47,74.7,0.0,13.08,0.0,0.0,0.0,0.0,0.0,0.47,85.32,17.79,0.0,547.98,400.52,0.0,18.24,0.0,0.0,0.0,0.0,0.0,0.14,12.55,1.64,0.0,62.72,71.53,0.0,6.76,0.0,0.0,0.0,0.0,0.0,0.0
125.94,613.16,4.58,14.0,3.4000000000000137,180.45,89.22,1.81,54.91,0.32,0.0,99.94,58.77,0.0,18.14,0.0,0.0,0.0,0.0,0.0,1.93,85.75,0.32,0.0,311.42,188.49,0.0,25.25,0.0,0.0,0.0,0.0,0.0,0.76,12.57,0.32,0.0,39.88,33.41,0.0,2.28,0.0,0.0,0.0,0.0,0.0,0.0
158.3,1172.72,3.63,16.8,6.599999999999989,192.43,141.37,2.9,72.18,2.78,0.0,133.92,66.72,0.0,15.51,0.66,0.0,0.0,0.0,0.0,3.37,292.08,3.02,0.0,609.79,245.38,0.0,18.42,0.66,0.0,0.0,0.0,0.0,1.62,26.53,0.94,0.0,67.95,41.4,0.0,2.76,0.17,0.0,0.0,0.0,0.0,0.0
153.13,1282.44,5.52,20.29,8.200000000000012,182.79,213.82,4.74,82.49,14.88,0.0,123.31,72.47,0.0,17.18,6.47,0.0,0.0,0.0,0.0,8.23,415.06,22.58,0.0,567.55,217.4,0.0,44.36,7.26,0.0,0.0,0.0,0.0,5.48,66.32,3.66,0.0,83.58,36.43,0.0,16.39,1.96,0.0,0.0,0.0,0.0,0.0
111.69,720.16,0.0,6.53,3.199999999999994,146.11,102.47,0.0,6.06,0.0,0.0,15.68,89.52,0.0,1.36,72.71,0.0,0.0,0.0,0.0,0.0,6.33,0.0,0.0,17.98,300.15,0.0,1.36,394.34,0.0,0.0,0.0,0.0,0.0,1.21,0.0,0.0,1.23,62.73,0.0,0.34,36.96,0.0,0.0,0.0,0.0,0.0
65.0,147.37,0.31,5.16,2.400000000000004,126.95,36.84,0.0,1.98,0.0,0.0,0.0,48.6,0.0,1.24,29.77,0.24,0.0,0.0,0.9,0.0,2.1,0.0,0.0,0.0,97.69,0.0,1.24,45.18,0.26,0.0,0.0,0.9,0.0,1.0,0.0,0.0,0.0,26.66,0.0,0.46,8.52,0.14,0.0,0.0,0.06,0.0
98.78,419.11,2.69,9.55,4.399999999999992,131.23,82.17,0.0,4.27,0.0,0.0,0.0,73.64,0.0,3.4,57.02,2.77,0.0,0.0,6.0,0.0,5.31,0.0,0.0,0.0,226.69,0.0,3.4,174.52,3.19,0.0,0.0,6.0,0.0,3.01,0.0,0.0,0.0,54.33,0.0,2.2,20.88,1.35,0.0,0.0,0.4,0.0
