stg,start_age,speciesRT,speciesBC,speciesSIB,run,genusRT,genusBC,genusSIB
"(5.33,7.25]",86.3,162,123,117,4,231,182,166
"(7.25,11.6]",83.6,185,140,145,4,269,206,207
"(11.6,13.8]",72.1,204,151,156,4,293,234,206
"(13.8,16]",66,220,183,161,4,325,269,244
"(16,20.4]",61.6,233,191,197,4,343,285,281
"(20.4,23]",59.2,190,175,129,4,291,277,193
"(23,28.1]",56,172,139,121,4,269,228,171
"(28.1,33.9]",47.8,162,122,109,4,254,213,160
"(33.9,37.8]",41.2,211,105,179,4,329,195,271
"(37.8,41.2]",37.8,228,148,175,4,349,259,258
"(41.2,47.8]",33.9,248,180,214,4,386,295,322
"(47.8,56]",28.1,270,167,256,4,384,277,341
"(56,59.2]",23.03,184,112,163,4,279,198,226
"(59.2,61.6]",20.44,111,103,57,4,190,182,69
"(61.6,66]",15.97,151,88,131,4,244,168,197
"(66,72.1]",13.82,220,70,205,4,317,138,283
"(72.1,83.6]",11.63,239,109,223,4,345,189,308
"(83.6,86.3]",7.246,153,113,120,4,239,193,166
"(86.3,89.8]",5.333,105,76,67,4,185,150,110
"(89.8,93.9]",3.6,137,88,113,4,217,162,161
"(93.9,100]",2.58,180,91,173,4,254,159,237
"(100,113]",1.8,92,68,88,4,143,118,127
"(113,125]",0.781,40,28,37,4,74,61,59
"(125,129]",0.126,22,17,15,4,44,38,22
"(129,133]",0.0117,17,11,14,4,33,27,26
"(133,140]",0.0082,29,7,27,4,42,16,40
"(140,155]",0.0042,2,2,2,4,2,2,2
"(0.0042,0.0082]",139.8,11,4,7,5,15,8,7
"(0.0082,0.0117]",132.9,17,11,6,5,18,15,4
"(0.0117,0.126]",129.4,50,17,47,5,61,18,58
"(0.126,0.781]",125,55,43,38,5,73,54,54
"(0.781,1.8]",113,57,47,29,5,80,64,42
"(1.8,2.58]",100.5,64,57,30,5,93,79,43
"(2.58,3.6]",93.9,113,61,96,5,156,89,129
"(3.6,5.33]",89.8,149,102,127,5,202,144,170
"(5.33,7.25]",86.3,160,126,118,5,230,180,163
"(7.25,11.6]",83.6,190,139,151,5,280,210,217
"(11.6,13.8]",72.1,203,154,146,5,296,238,215
"(13.8,16]",66,220,180,166,5,328,274,238
"(16,20.4]",61.6,229,189,191,5,335,286,269
"(20.4,23]",59.2,192,177,133,5,297,276,204
"(23,28.1]",56,175,140,122,5,272,229,179
"(28.1,33.9]",47.8,157,123,103,5,256,214,158
"(33.9,37.8]",41.2,211,103,180,5,330,198,274
"(37.8,41.2]",37.8,234,151,186,5,363,261,276
"(41.2,47.8]",33.9,247,182,214,5,382,307,315
"(47.8,56]",28.1,273,168,259,5,389,277,346
"(56,59.2]",23.03,183,112,160,5,281,199,228
"(59.2,61.6]",20.44,112,105,59,5,193,185,62
"(61.6,66]",15.97,149,86,129,5,239,170,189
"(66,72.1]",13.82,223,73,208,5,318,136,284
"(72.1,83.6]",11.63,238,108,222,5,344,189,307
"(83.6,86.3]",7.246,151,108,116,5,240,191,167
"(86.3,89.8]",5.333,105,77,69,5,186,153,108
"(89.8,93.9]",3.6,137,89,112,5,217,162,161
"(93.9,100]",2.58,179,90,172,5,255,160,238
"(100,113]",1.8,92,68,88,5,143,118,127
"(113,125]",0.781,39,28,36,5,74,61,58
"(125,129]",0.126,22,16,14,5,43,37,20
"(129,133]",0.0117,18,11,14,5,37,27,29
"(133,140]",0.0082,29,8,27,5,40,18,38
"(140,155]",0.0042,2,2,2,5,2,2,2
"(0.0042,0.0082]",139.8,11,6,6,6,16,7,10
"(0.0082,0.0117]",132.9,17,11,7,6,19,16,3
"(0.0117,0.126]",129.4,50,17,47,6,62,18,59
"(0.126,0.781]",125,50,43,33,6,74,54,52
"(0.781,1.8]",113,57,45,31,6,80,67,40
"(1.8,2.58]",100.5,66,55,34,6,94,80,40
"(2.58,3.6]",93.9,111,62,94,6,159,88,135
"(3.6,5.33]",89.8,146,99,125,6,205,147,173
"(5.33,7.25]",86.3,170,123,125,6,225,183,160
"(7.25,11.6]",83.6,183,144,137,6,275,203,214
"(11.6,13.8]",72.1,204,154,154,6,298,236,213
"(13.8,16]",66,223,182,161,6,326,273,243
"(16,20.4]",61.6,233,191,190,6,343,286,277
"(20.4,23]",59.2,189,178,134,6,293,280,200
"(23,28.1]",56,174,138,120,6,271,230,176
"(28.1,33.9]",47.8,158,122,102,6,254,213,158
"(33.9,37.8]",41.2,210,104,177,6,330,196,271
"(37.8,41.2]",37.8,232,149,177,6,362,265,267
"(41.2,47.8]",33.9,250,184,215,6,386,302,322
"(47.8,56]",28.1,272,168,258,6,390,280,347
"(56,59.2]",23.03,183,113,163,6,280,201,228
"(59.2,61.6]",20.44,113,103,62,6,195,188,74
"(61.6,66]",15.97,147,86,128,6,239,166,193
"(66,72.1]",13.82,220,70,205,6,321,140,287
"(72.1,83.6]",11.63,239,108,223,6,344,189,307
"(83.6,86.3]",7.246,151,112,118,6,237,188,169
"(86.3,89.8]",5.333,103,75,66,6,183,150,101
"(89.8,93.9]",3.6,139,87,114,6,214,160,157
"(93.9,100]",2.58,179,91,172,6,255,159,238
"(100,113]",1.8,92,68,88,6,143,118,127
"(113,125]",0.781,38,28,35,6,74,61,61
"(125,129]",0.126,24,17,16,6,41,35,21
"(129,133]",0.0117,17,11,13,6,35,27,27
"(133,140]",0.0082,29,7,27,6,42,18,40
"(140,155]",0.0042,2,2,2,6,2,2,2
"(0.0042,0.0082]",139.8,14,11,3,7,16,12,4
"(0.0082,0.0117]",132.9,17,14,4,7,18,16,3
"(0.0117,0.126]",129.4,50,17,47,7,62,18,59
"(0.126,0.781]",125,51,43,32,7,69,54,46
"(0.781,1.8]",113,55,46,29,7,82,62,50
"(1.8,2.58]",100.5,65,54,36,7,90,79,38
"(2.58,3.6]",93.9,113,60,98,7,158,87,137
"(3.6,5.33]",89.8,143,100,126,7,207,148,171
"(5.33,7.25]",86.3,161,121,114,7,225,183,155
"(7.25,11.6]",83.6,191,141,147,7,270,203,213
"(11.6,13.8]",72.1,210,155,159,7,295,232,215
"(13.8,16]",66,219,186,156,7,327,271,241
"(16,20.4]",61.6,229,190,189,7,339,288,277
"(20.4,23]",59.2,193,177,134,7,295,275,212
"(23,28.1]",56,174,140,123,7,268,228,168
"(28.1,33.9]",47.8,159,122,104,7,253,211,162
"(33.9,37.8]",41.2,212,104,184,7,332,195,275
"(37.8,41.2]",37.8,231,149,175,7,360,263,271
"(41.2,47.8]",33.9,246,182,212,7,377,300,310
"(47.8,56]",28.1,271,167,257,7,386,276,343
"(56,59.2]",23.03,183,112,164,7,281,197,229
"(59.2,61.6]",20.44,114,106,66,7,197,190,75
"(61.6,66]",15.97,151,85,130,7,239,166,190
"(66,72.1]",13.82,221,74,206,7,321,141,287
"(72.1,83.6]",11.63,240,108,224,7,344,189,307
"(83.6,86.3]",7.246,150,112,115,7,242,192,172
"(86.3,89.8]",5.333,106,76,71,7,183,151,102
"(89.8,93.9]",3.6,139,88,115,7,213,159,158
"(93.9,100]",2.58,180,93,173,7,255,159,238
"(100,113]",1.8,92,68,88,7,143,118,127
"(113,125]",0.781,38,28,35,7,72,61,55
"(125,129]",0.126,23,16,14,7,43,35,22
"(129,133]",0.0117,17,11,13,7,34,27,26
"(133,140]",0.0082,29,7,27,7,42,17,40
"(140,155]",0.0042,2,2,2,7,2,2,2
"(0.0042,0.0082]",139.8,16,8,8,8,12,6,7
"(0.0082,0.0117]",132.9,17,15,2,8,19,12,7
"(0.0117,0.126]",129.4,50,17,47,8,63,18,60
"(0.126,0.781]",125,52,43,35,8,75,56,51
"(0.781,1.8]",113,57,46,32,8,78,67,44
"(1.8,2.58]",100.5,64,56,30,8,91,76,45
"(2.58,3.6]",93.9,110,60,94,8,152,87,131
"(3.6,5.33]",89.8,144,97,127,8,207,141,177
"(5.33,7.25]",86.3,161,123,120,8,225,184,155
"(7.25,11.6]",83.6,190,138,148,8,276,206,213
"(11.6,13.8]",72.1,202,156,147,8,296,236,209
"(13.8,16]",66,224,183,163,8,329,274,240
"(16,20.4]",61.6,227,190,182,8,344,287,284
"(20.4,23]",59.2,195,179,134,8,292,277,206
"(23,28.1]",56,172,138,123,8,272,230,173
"(28.1,33.9]",47.8,158,119,104,8,255,214,161
"(33.9,37.8]",41.2,212,105,179,8,329,197,274
"(37.8,41.2]",37.8,237,152,188,8,363,262,275
"(41.2,47.8]",33.9,247,185,207,8,385,304,319
"(47.8,56]",28.1,274,169,259,8,376,272,331
"(56,59.2]",23.03,185,112,164,8,279,195,228
"(59.2,61.6]",20.44,113,108,60,8,190,183,67
"(61.6,66]",15.97,149,87,129,8,233,161,185
"(66,72.1]",13.82,220,69,205,8,318,135,284
"(72.1,83.6]",11.63,240,108,224,8,345,189,308
"(83.6,86.3]",7.246,151,111,116,8,240,193,169
"(86.3,89.8]",5.333,104,77,68,8,183,149,107
"(89.8,93.9]",3.6,138,87,114,8,216,161,161
"(93.9,100]",2.58,180,92,173,8,254,159,237
"(100,113]",1.8,92,68,88,8,143,118,127
"(113,125]",0.781,42,28,39,8,73,61,59
"(125,129]",0.126,20,17,11,8,44,37,21
"(129,133]",0.0117,16,11,12,8,33,27,25
"(133,140]",0.0082,30,7,28,8,43,17,41
"(140,155]",0.0042,2,2,2,8,2,2,2
"(0.0042,0.0082]",139.8,14,8,6,9,13,5,9
"(0.0082,0.0117]",132.9,17,14,4,9,19,13,6
"(0.0117,0.126]",129.4,50,17,47,9,60,18,57
"(0.126,0.781]",125,48,43,35,9,72,53,52
"(0.781,1.8]",113,57,43,31,9,82,64,44
"(1.8,2.58]",100.5,64,54,30,9,89,80,41
"(2.58,3.6]",93.9,117,61,101,9,156,85,135
"(3.6,5.33]",89.8,148,106,126,9,203,143,170
"(5.33,7.25]",86.3,162,125,117,9,226,181,165
"(7.25,11.6]",83.6,187,137,149,9,271,207,211
"(11.6,13.8]",72.1,205,154,152,9,293,230,214
"(13.8,16]",66,220,183,164,9,323,268,239
"(16,20.4]",61.6,233,190,190,9,346,286,283
"(20.4,23]",59.2,193,183,139,9,288,276,198
"(23,28.1]",56,173,137,120,9,268,229,167
"(28.1,33.9]",47.8,158,122,105,9,259,211,163
"(33.9,37.8]",41.2,207,103,175,9,333,199,278
"(37.8,41.2]",37.8,235,148,185,9,354,263,254
"(41.2,47.8]",33.9,248,182,211,9,384,299,324
"(47.8,56]",28.1,270,167,255,9,383,274,339
