stg,start_age,speciesRT,speciesBC,speciesSIB,run,genusRT,genusBC,genusSIB
"(2.58,3.6]",93.9,114,60,96,15,152,85,128
"(3.6,5.33]",89.8,147,104,124,15,205,140,176
"(5.33,7.25]",86.3,165,123,121,15,232,183,161
"(7.25,11.6]",83.6,184,143,142,15,281,214,220
"(11.6,13.8]",72.1,206,151,157,15,298,239,213
"(13.8,16]",66,220,177,163,15,326,272,239
"(16,20.4]",61.6,225,190,182,15,336,286,271
"(20.4,23]",59.2,200,184,142,15,292,273,206
"(23,28.1]",56,175,138,123,15,273,229,177
"(28.1,33.9]",47.8,156,122,100,15,250,211,155
"(33.9,37.8]",41.2,211,105,179,15,330,195,274
"(37.8,41.2]",37.8,240,151,192,15,360,265,268
"(41.2,47.8]",33.9,248,189,209,15,389,306,322
"(47.8,56]",28.1,268,165,254,15,387,278,342
"(56,59.2]",23.03,187,111,169,15,281,198,230
"(59.2,61.6]",20.44,109,104,57,15,198,188,78
"(61.6,66]",15.97,146,84,125,15,236,168,187
"(66,72.1]",13.82,219,69,204,15,319,137,285
"(72.1,83.6]",11.63,239,108,223,15,343,189,305
"(83.6,86.3]",7.246,152,113,120,15,238,189,165
"(86.3,89.8]",5.333,105,75,68,15,181,149,103
"(89.8,93.9]",3.6,139,88,114,15,216,159,159
"(93.9,100]",2.58,179,92,172,15,254,159,237
"(100,113]",1.8,92,68,88,15,143,118,127
"(113,125]",0.781,43,28,40,15,77,61,62
"(125,129]",0.126,18,16,9,15,40,37,19
"(129,133]",0.0117,16,11,13,15,33,27,25
"(133,140]",0.0082,30,7,28,15,43,17,41
"(140,155]",0.0042,2,2,2,15,2,2,2
"(0.0042,0.0082]",139.8,14,7,7,16,16,12,5
"(0.0082,0.0117]",132.9,18,14,5,16,18,16,2
"(0.0117,0.126]",129.4,50,17,47,16,60,18,57
"(0.126,0.781]",125,53,43,35,16,74,53,54
"(0.781,1.8]",113,58,47,29,16,80,65,44
"(1.8,2.58]",100.5,63,56,30,16,92,79,45
"(2.58,3.6]",93.9,117,60,101,16,158,88,132
"(3.6,5.33]",89.8,148,107,126,16,205,148,171
"(5.33,7.25]",86.3,164,123,122,16,226,181,166
"(7.25,11.6]",83.6,186,142,145,16,273,205,212
"(11.6,13.8]",72.1,204,153,150,16,295,234,212
"(13.8,16]",66,222,182,163,16,325,269,241
"(16,20.4]",61.6,231,191,188,16,338,284,270
"(20.4,23]",59.2,192,178,138,16,298,281,209
"(23,28.1]",56,176,139,129,16,269,228,174
"(28.1,33.9]",47.8,153,119,98,16,254,213,158
"(33.9,37.8]",41.2,205,103,174,16,329,195,273
"(37.8,41.2]",37.8,232,144,185,16,359,263,267
"(41.2,47.8]",33.9,250,182,212,16,388,306,330
"(47.8,56]",28.1,269,169,254,16,387,275,344
"(56,59.2]",23.03,184,111,163,16,280,200,226
"(59.2,61.6]",20.44,109,101,60,16,194,184,70
"(61.6,66]",15.97,149,86,129,16,246,173,197
"(66,72.1]",13.82,223,74,208,16,318,139,284
"(72.1,83.6]",11.63,240,108,224,16,345,190,306
"(83.6,86.3]",7.246,155,116,123,16,239,192,170
"(86.3,89.8]",5.333,107,77,71,16,182,148,108
"(89.8,93.9]",3.6,139,89,114,16,213,159,156
"(93.9,100]",2.58,180,93,173,16,253,157,236
"(100,113]",1.8,92,68,88,16,143,118,127
"(113,125]",0.781,40,28,37,16,75,61,61
"(125,129]",0.126,22,17,16,16,40,35,20
"(129,133]",0.0117,15,11,11,16,36,27,28
"(133,140]",0.0082,32,8,30,16,41,18,39
"(140,155]",0.0042,2,2,2,16,2,2,2
"(0.0042,0.0082]",139.8,12,9,4,17,13,8,6
"(0.0082,0.0117]",132.9,18,12,6,17,18,13,5
"(0.0117,0.126]",129.4,49,17,46,17,61,18,58
"(0.126,0.781]",125,53,42,35,17,68,54,46
"(0.781,1.8]",113,57,48,29,17,80,59,47
"(1.8,2.58]",100.5,63,54,33,17,91,79,46
"(2.58,3.6]",93.9,115,60,99,17,157,87,135
"(3.6,5.33]",89.8,149,104,124,17,204,145,174
"(5.33,7.25]",86.3,161,126,118,17,228,181,162
"(7.25,11.6]",83.6,189,142,145,17,275,206,214
"(11.6,13.8]",72.1,204,154,154,17,289,236,211
"(13.8,16]",66,231,186,169,17,329,267,242
"(16,20.4]",61.6,232,194,186,17,340,285,273
"(20.4,23]",59.2,195,182,143,17,293,278,207
"(23,28.1]",56,172,137,120,17,273,230,174
"(28.1,33.9]",47.8,159,123,102,17,250,211,152
"(33.9,37.8]",41.2,210,104,181,17,331,196,276
"(37.8,41.2]",37.8,228,148,174,17,360,263,269
"(41.2,47.8]",33.9,249,178,215,17,379,298,320
"(47.8,56]",28.1,269,170,254,17,389,277,344
"(56,59.2]",23.03,186,109,167,17,280,203,226
"(59.2,61.6]",20.44,114,105,63,17,190,182,72
"(61.6,66]",15.97,147,88,125,17,239,167,192
"(66,72.1]",13.82,220,70,205,17,316,134,282
"(72.1,83.6]",11.63,239,108,223,17,342,189,305
"(83.6,86.3]",7.246,154,113,119,17,240,190,169
"(86.3,89.8]",5.333,106,79,69,17,185,151,102
"(89.8,93.9]",3.6,137,87,113,17,215,162,157
"(93.9,100]",2.58,179,90,172,17,255,158,238
"(100,113]",1.8,92,68,88,17,143,118,127
"(113,125]",0.781,40,28,37,17,73,61,58
"(125,129]",0.126,23,18,14,17,44,37,21
"(129,133]",0.0117,15,11,11,17,33,27,26
"(133,140]",0.0082,32,8,30,17,44,18,42
"(140,155]",0.0042,2,2,2,17,2,2,2
"(0.0042,0.0082]",139.8,15,11,5,18,12,8,4
"(0.0082,0.0117]",132.9,17,14,3,18,18,11,8
"(0.0117,0.126]",129.4,51,17,48,18,62,18,59
"(0.126,0.781]",125,54,44,37,18,75,55,55
"(0.781,1.8]",113,58,48,30,18,79,66,42
"(1.8,2.58]",100.5,64,56,30,18,92,78,45
"(2.58,3.6]",93.9,117,61,100,18,152,88,128
"(3.6,5.33]",89.8,146,104,126,18,201,138,172
"(5.33,7.25]",86.3,162,125,117,18,234,181,168
"(7.25,11.6]",83.6,187,138,146,18,276,214,212
"(11.6,13.8]",72.1,202,155,149,18,294,235,214
"(13.8,16]",66,224,182,167,18,328,273,244
"(16,20.4]",61.6,231,191,185,18,343,285,283
"(20.4,23]",59.2,198,185,141,18,294,280,201
"(23,28.1]",56,174,138,123,18,273,229,176
"(28.1,33.9]",47.8,157,121,102,18,252,213,158
"(33.9,37.8]",41.2,209,104,178,18,329,195,273
"(37.8,41.2]",37.8,234,147,181,18,352,259,265
"(41.2,47.8]",33.9,250,185,212,18,384,299,318
"(47.8,56]",28.1,270,167,256,18,380,274,336
"(56,59.2]",23.03,184,112,165,18,281,194,229
"(59.2,61.6]",20.44,110,103,52,18,193,185,63
"(61.6,66]",15.97,146,84,126,18,237,168,189
"(66,72.1]",13.82,217,67,202,18,319,137,285
"(72.1,83.6]",11.63,239,108,223,18,344,189,307
"(83.6,86.3]",7.246,152,112,122,18,239,191,169
"(86.3,89.8]",5.333,107,77,69,18,183,149,109
"(89.8,93.9]",3.6,139,90,114,18,216,161,159
"(93.9,100]",2.58,180,92,173,18,255,160,238
"(100,113]",1.8,92,68,88,18,143,118,127
"(113,125]",0.781,40,28,36,18,71,61,55
"(125,129]",0.126,21,16,15,18,44,35,22
"(129,133]",0.0117,18,11,14,18,33,27,25
"(133,140]",0.0082,28,7,26,18,44,18,42
"(140,155]",0.0042,2,2,2,18,2,2,2
"(0.0042,0.0082]",139.8,13,7,6,19,17,9,9
"(0.0082,0.0117]",132.9,18,13,6,19,18,16,3
"(0.0117,0.126]",129.4,50,17,47,19,63,18,60
"(0.126,0.781]",125,52,43,34,19,72,56,49
"(0.781,1.8]",113,55,45,28,19,79,63,43
"(1.8,2.58]",100.5,64,55,34,19,90,78,41
"(2.58,3.6]",93.9,112,60,97,19,154,86,133
"(3.6,5.33]",89.8,150,102,128,19,204,143,172
"(5.33,7.25]",86.3,160,126,111,19,228,181,162
"(7.25,11.6]",83.6,192,141,154,19,268,204,208
"(11.6,13.8]",72.1,198,156,140,19,296,234,208
"(13.8,16]",66,227,178,173,19,328,274,244
"(16,20.4]",61.6,228,190,187,19,342,285,279
"(20.4,23]",59.2,192,178,132,19,295,278,209
"(23,28.1]",56,174,138,121,19,272,230,176
"(28.1,33.9]",47.8,158,124,100,19,253,212,160
"(33.9,37.8]",41.2,206,102,174,19,330,196,273
"(37.8,41.2]",37.8,224,143,176,19,359,262,274
"(41.2,47.8]",33.9,247,176,211,19,388,305,324
"(47.8,56]",28.1,272,168,258,19,388,277,345
"(56,59.2]",23.03,184,111,166,19,282,202,227
"(59.2,61.6]",20.44,111,105,57,19,194,186,73
"(61.6,66]",15.97,153,87,133,19,238,168,191
"(66,72.1]",13.82,222,75,207,19,318,137,284
"(72.1,83.6]",11.63,239,108,223,19,343,189,306
"(83.6,86.3]",7.246,152,112,120,19,239,191,165
"(86.3,89.8]",5.333,103,75,69,19,186,150,111
"(89.8,93.9]",3.6,138,88,114,19,216,162,159
"(93.9,100]",2.58,181,92,174,19,253,158,236
"(100,113]",1.8,92,68,88,19,143,118,127
"(113,125]",0.781,39,28,36,19,76,61,61
"(125,129]",0.126,22,16,13,19,40,36,19
"(129,133]",0.0117,17,11,13,19,35,27,28
"(133,140]",0.0082,30,8,28,19,40,16,38
"(140,155]",0.0042,2,2,2,19,2,2,2
"(0.0042,0.0082]",139.8,12,10,3,20,16,7,9
"(0.0082,0.0117]",132.9,18,12,6,20,19,16,4
"(0.0117,0.126]",129.4,51,17,48,20,60,18,57
"(0.126,0.781]",125,51,43,36,20,70,53,51
"(0.781,1.8]",113,55,45,31,20,79,62,43
"(1.8,2.58]",100.5,63,54,29,20,91,78,43
"(2.58,3.6]",93.9,118,60,100,20,153,86,130
"(3.6,5.33]",89.8,151,107,124,20,200,141,173
"(5.33,7.25]",86.3,161,128,116,20,231,178,165
"(7.25,11.6]",83.6,186,139,144,20,276,208,212
"(11.6,13.8]",72.1,196,151,144,20,286,236,205
"(13.8,16]",66,227,181,171,20,330,270,235
"(16,20.4]",61.6,234,192,189,20,340,285,277
"(20.4,23]",59.2,199,187,144,20,297,278,205
"(23,28.1]",56,177,137,128,20,269,229,174
"(28.1,33.9]",47.8,156,123,101,20,252,211,161
"(33.9,37.8]",41.2,210,105,179,20,328,196,271
"(37.8,41.2]",37.8,239,150,190,20,364,261,271
"(41.2,47.8]",33.9,242,181,205,20,386,309,315
"(47.8,56]",28.1,269,168,254,20,387,276,342
"(56,59.2]",23.03,184,109,166,20,279,199,229
"(59.2,61.6]",20.44,112,105,58,20,190,184,72
"(61.6,66]",15.97,151,86,130,20,241,163,195
"(66,72.1]",13.82,222,75,207,20,319,141,285
"(72.1,83.6]",11.63,239,108,223,20,345,189,308
"(83.6,86.3]",7.246,154,114,119,20,238,192,168
"(86.3,89.8]",5.333,108,79,73,20,182,151,103
"(89.8,93.9]",3.6,140,89,116,20,215,158,160
"(93.9,100]",2.58,180,93,173,20,255,158,238
"(100,113]",1.8,92,68,88,20,143,118,127
"(113,125]",0.781,40,28,37,20,75,61,61
"(125,129]",0.126,21,16,12,20,42,37,21
"(129,133]",0.0117,16,11,12,20,35,27,27
"(133,140]",0.0082,30,7,28,20,41,17,39
"(140,155]",0.0042,2,2,2,20,2,2,2
"(0.0042,0.0082]",139.8,15,8,7,21,15,11,5
"(0.0082,0.0117]",132.9,17,15,3,21,19,15,4
"(0.0117,0.126]",129.4,50,17,47,21,63,18,60
"(0.126,0.781]",125,51,43,34,21,74,55,49
"(0.781,1.8]",113,57,45,32,21,80,65,43
"(1.8,2.58]",100.5,64,56,31,21,88,80,40
"(2.58,3.6]",93.9,120,60,104,21,152,84,134
"(3.6,5.33]",89.8,149,109,127,21,202,141,172
"(5.33,7.25]",86.3,164,126,122,21,225,179,158
"(7.25,11.6]",83.6,188,143,145,21,270,204,209
"(11.6,13.8]",72.1,203,154,155,21,294,232,209
"(13.8,16]",66,225,180,167,21,328,273,242
"(16,20.4]",61.6,226,192,183,21,342,286,283
"(20.4,23]",59.2,198,181,139,21,298,279,207
"(23,28.1]",56,174,138,123,21,271,230,172
"(28.1,33.9]",47.8,159,122,104,21,247,208,150
"(33.9,37.8]",41.2,210,106,175,21,328,194,275
"(37.8,41.2]",37.8,235,148,178,21,358,263,263
"(41.2,47.8]",33.9,249,187,214,21,386,301,326
"(47.8,56]",28.1,271,168,256,21,390,280,347
"(56,59.2]",23.03,185,110,165,21,279,199,227
"(59.2,61.6]",20.44,108,103,56,21,187,178,71
"(61.6,66]",15.97,153,88,132,21,235,163,187
"(66,72.1]",13.82,221,73,206,21,316,135,282
"(72.1,83.6]",11.63,239,108,223,21,343,189,306
"(83.6,86.3]",7.246,155,113,123,21,240,189,172
"(86.3,89.8]",5.333,104,77,65,21,181,149,104
"(89.8,93.9]",3.6,137,88,113,21,216,161,160
"(93.9,100]",2.58,181,92,174,21,255,160,238
"(100,113]",1.8,92,68,88,21,143,118,127
"(113,125]",0.781,39,28,36,21,75,61,60
"(125,129]",0.126,24,18,15,21,42,37,21
"(129,133]",0.0117,18,11,15,21,34,27,26
"(133,140]",0.0082,29,8,27,21,43,18,41
"(140,155]",0.0042,2,2,2,21,2,2,2
"(0.0042,0.0082]",139.8,12,6,7,22,16,8,9
"(0.0082,0.0117]",132.9,17,12,5,22,18,15,4
"(0.0117,0.126]",129.4,50,17,47,22,61,18,58
"(0.126,0.781]",125,52,43,34,22,71,54,46
"(0.781,1.8]",113,59,47,32,22,77,62,41
"(1.8,2.58]",100.5,64,58,30,22,91,76,49
"(2.58,3.6]",93.9,117,59,102,22,155,87,133
"(3.6,5.33]",89.8,143,104,119,22,205,144,177
"(5.33,7.25]",86.3,165,122,118,22,226,181,161
"(7.25,11.6]",83.6,188,143,148,22,272,205,209
"(11.6,13.8]",72.1,199,152,148,22,290,235,210
"(13.8,16]",66,224,182,169,22,329,269,245
"(16,20.4]",61.6,228,192,188,22,342,286,280
"(20.4,23]",59.2,195,176,146,22,294,276,205
"(23,28.1]",56,175,138,122,22,270,228,172
"(28.1,33.9]",47.8,156,122,103,22,256,214,158
"(33.9,37.8]",41.2,205,103,171,22,329,198,270
"(37.8,41.2]",37.8,231,147,183,22,359,264,275
"(41.2,47.8]",33.9,250,181,215,22,385,300,318
"(47.8,56]",28.1,270,165,256,22,386,276,342
"(56,59.2]",23.03,184,113,166,22,279,199,226
"(59.2,61.6]",20.44,110,103,58,22,192,182,72
"(61.6,66]",15.97,150,84,130,22,238,167,190
"(66,72.1]",13.82,217,70,202,22,321,140,287
"(72.1,83.6]",11.63,237,108,221,22,344,190,306
"(83.6,86.3]",7.246,153,110,119,22,237,190,166
"(86.3,89.8]",5.333,104,77,64,22,185,150,106
"(89.8,93.9]",3.6,138,87,113,22,215,160,158
"(93.9,100]",2.58,179,91,172,22,255,160,238
"(100,113]",1.8,92,68,88,22,143,118,127
"(113,125]",0.781,41,28,38,22,72,61,58
"(125,129]",0.126,20,16,12,22,45,37,26
"(129,133]",0.0117,16,11,12,22,33,27,25
"(133,140]",0.0082,31,8,29,22,43,17,41
"(140,155]",0.0042,2,2,2,22,2,2,2
"(0.0042,0.0082]",139.8,13,9,4,23,14,8,7
"(0.0082,0.0117]",132.9,17,12,5,23,18,13,5
"(0.0117,0.126]",129.4,51,17,48,23,61,18,58
"(0.126,0.781]",125,50,44,30,23,71,53,52
"(0.781,1.8]",113,58,44,33,23,80,63,46
"(1.8,2.58]",100.5,63,56,29,23,88,78,38
"(2.58,3.6]",93.9,115,60,99,23,159,85,134
"(3.6,5.33]",89.8,146,102,124,23,201,148,171
"(5.33,7.25]",86.3,156,124,111,23,226,178,156
"(7.25,11.6]",83.6,186,134,148,23,274,204,212
"(11.6,13.8]",72.1,202,153,149,23,294,234,215
"(13.8,16]",66,226,182,169,23,322,269,232
"(16,20.4]",61.6,226,191,185,23,338,286,278
"(20.4,23]",59.2,188,171,136,23,293,273,209
"(23,28.1]",56,174,137,121,23,268,227,169
"(28.1,33.9]",47.8,161,125,100,23,253,211,155
"(33.9,37.8]",41.2,208,106,174,23,334,195,278
"(37.8,41.2]",37.8,235,148,184,23,366,267,277
"(41.2,47.8]",33.9,248,181,213,23,386,310,327
"(47.8,56]",28.1,270,168,255,23,387,276,345
"(56,59.2]",23.03,187,112,166,23,278,202,221
"(59.2,61.6]",20.44,112,107,57,23,186,180,66
"(61.6,66]",15.97,147,86,127,23,241,162,194
"(66,72.1]",13.82,216,66,201,23,319,140,285
"(72.1,83.6]",11.63,239,108,223,23,345,189,307
"(83.6,86.3]",7.246,153,112,119,23,236,190,166
"(86.3,89.8]",5.333,106,78,70,23,186,150,108
"(89.8,93.9]",3.6,138,89,113,23,216,162,158
"(93.9,100]",2.58,181,92,174,23,255,160,238
"(100,113]",1.8,92,68,88,23,143,118,127
"(113,125]",0.781,40,28,37,23,72,61,58
"(125,129]",0.126,21,16,12,23,43,35,24
"(129,133]",0.0117,17,11,13,23,34,27,27
"(133,140]",0.0082,29,7,27,23,44,19,42
"(140,155]",0.0042,2,2,2,23,2,2,2
"(0.0042,0.0082]",139.8,12,7,5,24,14,9,5
"(0.0082,0.0117]",132.9,17,11,6,24,18,13,6
"(0.0117,0.126]",129.4,50,17,47,24,62,18,59
"(0.126,0.781]",125,52,43,35,24,78,55,57
"(0.781,1.8]",113,56,47,30,24,79,69,37
"(1.8,2.58]",100.5,64,54,31,24,90,78,43
"(2.58,3.6]",93.9,116,60,100,24,161,86,137
"(3.6,5.33]",89.8,148,104,125,24,202,148,171
"(5.33,7.25]",86.3,160,126,111,24,225,181,161
"(7.25,11.6]",83.6,191,142,152,24,277,204,215
"(11.6,13.8]",72.1,210,154,157,24,295,237,209
"(13.8,16]",66,226,188,168,24,322,268,236
"(16,20.4]",61.6,229,192,185,24,340,285,280
"(20.4,23]",59.2,190,177,134,24,292,275,203
"(23,28.1]",56,174,137,120,24,273,228,176
"(28.1,33.9]",47.8,157,123,101,24,252,214,156
"(33.9,37.8]",41.2,207,102,176,24,332,196,274
"(37.8,41.2]",37.8,235,145,183,24,364,266,271
"(41.2,47.8]",33.9,246,185,214,24,388,310,325
"(47.8,56]",28.1,268,167,254,24,386,275,342
"(56,59.2]",23.03,186,109,169,24,279,199,224
"(59.2,61.6]",20.44,110,106,58,24,191,182,75
"(61.6,66]",15.97,146,82,126,24,237,168,188
"(66,72.1]",13.82,219,69,204,24,317,134,283
"(72.1,83.6]",11.63,238,108,222,24,343,189,305
"(83.6,86.3]",7.246,152,110,119,24,241,193,172
"(86.3,89.8]",5.333,104,77,68,24,185,150,108
"(89.8,93.9]",3.6,137,87,112,24,216,162,160
"(93.9,100]",2.58,180,91,173,24,254,158,237
"(100,113]",1.8,92,68,88,24,143,118,127
"(113,125]",0.781,39,28,36,24,73,61,57
"(125,129]",0.126,23,17,14,24,43,36,20
"(129,133]",0.0117,17,11,13,24,34,27,27
"(133,140]",0.0082,31,9,29,24,41,16,39
"(140,155]",0.0042,2,2,2,24,2,2,2
"(0.0042,0.0082]",139.8,15,9,7,25,15,8,7
"(0.0082,0.0117]",132.9,17,15,2,25,18,14,5
"(0.0117,0.126]",129.4,49,17,46,25,61,18,58
"(0.126,0.781]",125,55,42,37,25,70,54,47
"(0.781,1.8]",113,58,49,29,25,81,62,42
"(1.8,2.58]",100.5,62,56,30,25,90,78,45
"(2.58,3.6]",93.9,116,59,98,25,147,87,124
"(3.6,5.33]",89.8,147,103,126,25,203,137,175
"(5.33,7.25]",86.3,165,125,124,25,219,179,151
"(7.25,11.6]",83.6,186,143,142,25,277,200,221
"(11.6,13.8]",72.1,200,152,146,25,293,235,204
"(13.8,16]",66,222,178,168,25,324,268,237
"(16,20.4]",61.6,232,191,191,25,344,288,281
"(20.4,23]",59.2,199,186,141,25,294,278,210
"(23,28.1]",56,179,139,126,25,268,228,171
"(28.1,33.9]",47.8,157,126,101,25,255,210,160
"(33.9,37.8]",41.2,210,105,181,25,326,197,269
"(37.8,41.2]",37.8,233,148,182,25,358,260,267
"(41.2,47.8]",33.9,247,182,214,25,383,299,316
"(47.8,56]",28.1,270,167,256,25,385,277,341
"(56,59.2]",23.03,186,112,168,25,282,200,232
"(59.2,61.6]",20.44,107,100,53,25,197,185,80
"(61.6,66]",15.97,148,85,127,25,234,167,186
"(66,72.1]",13.82,219,71,204,25,317,135,283
"(72.1,83.6]",11.63,239,108,223,25,344,189,307
"(83.6,86.3]",7.246,153,113,121,25,236,189,165
"(86.3,89.8]",5.333,103,76,68,25,185,150,108
"(89.8,93.9]",3.6,138,87,113,25,214,160,159
"(93.9,100]",2.58,180,91,173,25,254,158,237
"(100,113]",1.8,92,68,88,25,143,118,127
"(113,125]",0.781,40,28,36,25,74,61,60
"(125,129]",0.126,21,16,12,25,44,38,22
"(129,133]",0.0117,16,11,12,25,34,27,26
"(133,140]",0.0082,30,7,28,25,43,18,41
"(140,155]",0.0042,2,2,2,25,2,2,2
"(0.0042,0.0082]",139.8,11,8,3,26,12,10,3
"(0.0082,0.0117]",132.9,17,10,7,26,18,12,6
"(0.0117,0.126]",129.4,50,17,47,26,62,18,59
"(0.126,0.781]",125,50,43,32,26,76,54,53
"(0.781,1.8]",113,59,45,34,26,79,67,42
"(1.8,2.58]",100.5,63,56,27,26,91,78,41
"(2.58,3.6]",93.9,116,60,100,26,156,88,135
"(3.6,5.33]",89.8,147,104,127,26,202,144,169
"(5.33,7.25]",86.3,167,124,120,26,232,180,162
"(7.25,11.6]",83.6,185,143,141,26,271,208,206
"(11.6,13.8]",72.1,205,155,155,26,299,234,213
"(13.8,16]",66,220,183,164,26,325,274,240
"(16,20.4]",61.6,234,191,197,26,343,284,282
"(20.4,23]",59.2,188,174,134,26,285,274,197
"(23,28.1]",56,173,137,121,26,272,228,174
"(28.1,33.9]",47.8,156,121,101,26,253,213,158
"(33.9,37.8]",41.2,209,103,177,26,332,196,280
"(37.8,41.2]",37.8,236,148,181,26,363,266,268
"(41.2,47.8]",33.9,246,183,211,26,382,305,319
"(47.8,56]",28.1,266,165,251,26,387,275,343
"(56,59.2]",23.03,183,110,165,26,279,199,224
"(59.2,61.6]",20.44,114,105,60,26,192,183,71
"(61.6,66]",15.97,150,88,128,26,241,166,192
"(66,72.1]",13.82,220,71,205,26,317,139,283
"(72.1,83.6]",11.63,240,108,223,26,344,189,307
"(83.6,86.3]",7.246,153,114,118,26,236,190,166
"(86.3,89.8]",5.333,104,76,69,26,184,150,104
"(89.8,93.9]",3.6,138,88,114,26,216,160,159
"(93.9,100]",2.58,180,91,173,26,255,159,238
"(100,113]",1.8,92,68,88,26,143,118,127
"(113,125]",0.781,38,28,35,26,72,61,56
"(125,129]",0.126,24,17,16,26,45,37,24
"(129,133]",0.0117,15,11,11,26,34,27,26
"(133,140]",0.0082,32,8,30,26,44,19,42
"(140,155]",0.0042,2,2,2,26,2,2,2
"(0.0042,0.0082]",139.8,10,5,6,27,14,5,9
"(0.0082,0.0117]",132.9,17,9,9,27,18,13,6
"(0.0117,0.126]",129.4,50,17,47,27,61,18,58
"(0.126,0.781]",125,54,43,40,27,74,54,51
"(0.781,1.8]",113,57,48,26,27,82,65,45
"(1.8,2.58]",100.5,65,57,32,27,92,80,39
"(2.58,3.6]",93.9,110,60,93,27,154,89,129
"(3.6,5.33]",89.8,146,99,127,27,202,141,175
"(5.33,7.25]",86.3,165,123,117,27,231,180,168
"(7.25,11.6]",83.6,187,144,143,27,268,204,204
"(11.6,13.8]",72.1,202,153,150,27,286,234,203
"(13.8,16]",66,228,183,168,27,328,266,252
"(16,20.4]",61.6,227,192,186,27,341,283,280
"(20.4,23]",59.2,195,179,144,27,286,272,200
"(23,28.1]",56,172,136,118,27,273,229,179
"(28.1,33.9]",47.8,160,125,105,27,251,212,156
"(33.9,37.8]",41.2,206,102,178,27,330,197,272
"(37.8,41.2]",37.8,232,145,188,27,361,259,270
"(41.2,47.8]",33.9,244,179,209,27,389,309,325
"(47.8,56]",28.1,270,166,256,27,386,280,341
"(56,59.2]",23.03,184,111,165,27,281,198,228
"(59.2,61.6]",20.44,114,106,68,27,192,186,70
"(61.6,66]",15.97,143,81,122,27,236,165,188
"(66,72.1]",13.82,219,69,204,27,318,135,284
"(72.1,83.6]",11.63,239,109,223,27,344,189,307
"(83.6,86.3]",7.246,153,112,120,27,242,192,171
"(86.3,89.8]",5.333,104,78,66,27,184,152,105
"(89.8,93.9]",3.6,136,86,111,27,216,161,161
"(93.9,100]",2.58,181,91,174,27,255,160,238
"(100,113]",1.8,92,68,88,27,143,118,127
"(113,125]",0.781,41,28,38,27,75,61,61
"(125,129]",0.126,22,18,12,27,40,35,16
"(129,133]",0.0117,16,11,12,27,33,27,25
"(133,140]",0.0082,31,8,29,27,43,17,41
"(140,155]",0.0042,2,2,2,27,2,2,2
"(0.0042,0.0082]",139.8,13,10,4,28,16,7,10
"(0.0082,0.0117]",132.9,17,13,4,28,18,15,3
"(0.0117,0.126]",129.4,50,17,47,28,61,18,58
"(0.126,0.781]",125,54,43,34,28,76,53,58
"(0.781,1.8]",113,58,49,32,28,82,69,43
"(1.8,2.58]",100.5,64,57,31,28,92,82,43
"(2.58,3.6]",93.9,114,59,98,28,157,86,135
"(3.6,5.33]",89.8,147,104,128,28,205,145,176
"(5.33,7.25]",86.3,156,122,109,28,227,182,164
"(7.25,11.6]",83.6,187,139,148,28,271,203,209
"(11.6,13.8]",72.1,200,149,153,28,288,234,201
"(13.8,16]",66,220,175,169,28,331,269,242
"(16,20.4]",61.6,232,192,188,28,342,288,283
"(20.4,23]",59.2,190,177,128,28,295,280,203
"(23,28.1]",56,173,139,123,28,275,228,182
"(28.1,33.9]",47.8,158,121,102,28,254,217,155
"(33.9,37.8]",41.2,210,104,178,28,334,197,277
"(37.8,41.2]",37.8,238,147,189,28,364,269,268
"(41.2,47.8]",33.9,246,187,213,28,390,308,326
"(47.8,56]",28.1,268,165,254,28,389,279,343
"(56,59.2]",23.03,185,111,167,28,277,201,223
"(59.2,61.6]",20.44,110,105,57,28,195,183,75
"(61.6,66]",15.97,151,85,130,28,238,168,189
"(66,72.1]",13.82,220,73,205,28,319,137,285
"(72.1,83.6]",11.63,240,108,224,28,344,189,307
"(83.6,86.3]",7.246,152,112,115,28,238,189,166
"(86.3,89.8]",5.333,107,79,69,28,182,151,103
"(89.8,93.9]",3.6,137,89,113,28,216,160,159
"(93.9,100]",2.58,181,91,174,28,255,159,238
"(100,113]",1.8,92,68,88,28,143,118,127
"(113,125]",0.781,36,28,32,28,76,61,62
"(125,129]",0.126,26,17,19,28,39,35,18
"(129,133]",0.0117,17,11,13,28,35,27,28
"(133,140]",0.0082,31,9,29,28,40,16,38
"(140,155]",0.0042,2,2,2,28,2,2,2
"(0.0042,0.0082]",139.8,16,8,9,29,17,9,9
"(0.0082,0.0117]",132.9,17,15,2,29,18,17,1
"(0.0117,0.126]",129.4,49,17,46,29,61,18,58
"(0.126,0.781]",125,50,42,34,29,71,54,51
"(0.781,1.8]",113,56,44,28,29,77,62,44
"(1.8,2.58]",100.5,65,55,34,29,91,75,45
"(2.58,3.6]",93.9,115,61,97,29,153,88,132
"(3.6,5.33]",89.8,147,104,124,29,209,143,178
"(5.33,7.25]",86.3,160,124,116,29,231,185,169
"(7.25,11.6]",83.6,189,139,149,29,272,208,206
"(11.6,13.8]",72.1,202,153,153,29,297,235,212
"(13.8,16]",66,220,180,160,29,322,269,242
"(16,20.4]",61.6,233,190,190,29,341,286,273
"(20.4,23]",59.2,188,176,135,29,293,276,210
"(23,28.1]",56,177,138,125,29,271,229,172
"(28.1,33.9]",47.8,157,124,102,29,251,209,156
"(33.9,37.8]",41.2,208,104,175,29,330,198,274
