"","stg","mid_age","metric","diversity"
"136",47,28.45,"RT_species",177
"137",47,28.45,"BC_species",40
"138",47,28.45,"SIB_species",163
"139",47,28.45,"RT_genus_sqs",17.284
"140",47,28.45,"BC_genus_sqs",3.987
"141",47,28.45,"SIB_genus_sqs",15.671
"142",47,28.45,"RT_species_sqs",9.681
"143",47,28.45,"BC_species_sqs",0.959
"144",47,28.45,"SIB_species_sqs",9.326
"145",48,17.3,"RT_genus",345
"146",48,17.3,"BC_genus",158
"147",48,17.3,"SIB_genus",345
"148",48,17.3,"RT_species",242
"149",48,17.3,"BC_species",95
"150",48,17.3,"SIB_species",242
"151",48,17.3,"RT_genus_sqs",21.223
"152",48,17.3,"BC_genus_sqs",3.944
"153",48,17.3,"SIB_genus_sqs",21.223
"154",48,17.3,"RT_species_sqs",13.142
"155",48,17.3,"BC_species_sqs",1.582
"156",48,17.3,"SIB_species_sqs",13.142
