stg,mid_age,run,metric,diversity
74,117.3,2,genusSIB,12.67
75,106.85,2,speciesRT,12.28
75,106.85,2,speciesBC,3.05
75,106.85,2,speciesSIB,11
75,106.85,2,genusRT,22.43
75,106.85,2,genusBC,10.48
75,106.85,2,genusSIB,15.4
76,97.2,2,speciesRT,18.19
76,97.2,2,speciesBC,3.49
76,97.2,2,speciesSIB,16.72
76,97.2,2,genusRT,31.72
76,97.2,2,genusBC,11.24
76,97.2,2,genusSIB,23.89
77,91.645,2,speciesRT,15.66
77,91.645,2,speciesBC,5.25
77,91.645,2,speciesSIB,13.25
77,91.645,2,genusRT,29.76
77,91.645,2,genusBC,14.75
77,91.645,2,genusSIB,20.37
78,87.545,2,speciesRT,25.87
78,87.545,2,speciesBC,5.99
78,87.545,2,speciesSIB,23.65
78,87.545,2,genusRT,41.46
78,87.545,2,genusBC,15.81
78,87.545,2,genusSIB,32.43
79,84.675,2,speciesRT,7.73
79,84.675,2,speciesBC,7.73
79,84.675,2,speciesSIB,0
79,84.675,2,genusRT,18.17
79,84.675,2,genusBC,18.17
79,84.675,2,genusSIB,0
80,77.91,2,speciesRT,23.86
80,77.91,2,speciesBC,7.73
80,77.91,2,speciesSIB,20.95
80,77.91,2,genusRT,39.77
80,77.91,2,genusBC,18.17
80,77.91,2,genusSIB,30.25
81,69.105,2,speciesRT,22.5
81,69.105,2,speciesBC,7.18
81,69.105,2,speciesSIB,20.65
81,69.105,2,genusRT,40.51
81,69.105,2,genusBC,17.2
81,69.105,2,genusSIB,32.88
82,63.85,2,speciesRT,25.21
82,63.85,2,speciesBC,3.08
82,63.85,2,speciesSIB,24.55
82,63.85,2,genusRT,42.31
82,63.85,2,genusBC,12.6
82,63.85,2,genusSIB,36.02
83,58.83,2,speciesRT,22.71
83,58.83,2,speciesBC,6.11
83,58.83,2,speciesSIB,19.75
83,58.83,2,genusRT,37.94
83,58.83,2,genusBC,16.59
83,58.83,2,genusSIB,26.83
84,52.035,2,speciesRT,30.97
84,52.035,2,speciesBC,8.4
84,52.035,2,speciesSIB,27.75
84,52.035,2,genusRT,47.3
84,52.035,2,genusBC,19.94
84,52.035,2,genusSIB,36.4
85,44.55,2,speciesRT,31.09
85,44.55,2,speciesBC,10.1
85,44.55,2,speciesSIB,28.08
85,44.55,2,genusRT,52.63
85,44.55,2,genusBC,22.93
85,44.55,2,genusSIB,42.68
86,39.37,2,speciesRT,8.77
86,39.37,2,speciesBC,8.17
86,39.37,2,speciesSIB,1
86,39.37,2,genusRT,21.18
86,39.37,2,genusBC,20.57
86,39.37,2,genusSIB,1
87,35.805,2,speciesRT,19.84
87,35.805,2,speciesBC,8.15
87,35.805,2,speciesSIB,17.37
87,35.805,2,genusRT,38.34
87,35.805,2,genusBC,20.57
87,35.805,2,genusSIB,29.1
88,30.595,2,speciesRT,12.04
88,30.595,2,speciesBC,4.38
88,30.595,2,speciesSIB,9.22
88,30.595,2,genusRT,27.03
88,30.595,2,genusBC,15.67
88,30.595,2,genusSIB,15.73
89,25.165,2,speciesRT,6.5
89,25.165,2,speciesBC,5.47
89,25.165,2,speciesSIB,1.25
89,25.165,2,genusRT,17.49
89,25.165,2,genusBC,16.52
89,25.165,2,genusSIB,1.21
90,19.515,2,speciesRT,16.97
90,19.515,2,speciesBC,5.5
90,19.515,2,speciesSIB,14.23
90,19.515,2,genusRT,34.7
90,19.515,2,genusBC,16.63
90,19.515,2,genusSIB,24.77
91,13.81,2,speciesRT,16.31
91,13.81,2,speciesBC,8.14
91,13.81,2,speciesSIB,12.36
91,13.81,2,genusRT,30.23
91,13.81,2,genusBC,19.53
91,13.81,2,genusSIB,19.55
92,8.48,2,speciesRT,16.53
92,8.48,2,speciesBC,7.72
92,8.48,2,speciesSIB,13.65
92,8.48,2,genusRT,27.08
92,8.48,2,genusBC,16.95
92,8.48,2,genusSIB,20.25
93,3.96,2,speciesRT,11.6
93,3.96,2,speciesBC,6.26
93,3.96,2,speciesSIB,9.55
93,3.96,2,genusRT,17.99
93,3.96,2,genusBC,11.96
93,3.96,2,genusSIB,13.24
94,1.30085,2,speciesRT,11.33
94,1.30085,2,speciesBC,3.59
94,1.30085,2,speciesSIB,11.33
94,1.30085,2,genusRT,15.5
94,1.30085,2,genusBC,7
94,1.30085,2,genusSIB,15.5
70,140.4,3,speciesRT,NA
70,140.4,3,speciesBC,NA
70,140.4,3,speciesSIB,NA
70,140.4,3,genusRT,21.85
70,140.4,3,genusBC,0.21
70,140.4,3,genusSIB,21.64
71,135.15,3,speciesRT,1.19
71,135.15,3,speciesBC,0.19
71,135.15,3,speciesSIB,1
71,135.15,3,genusRT,5.74
71,135.15,3,genusBC,5.17
71,135.15,3,genusSIB,1
72,129.55,3,speciesRT,5.94
72,129.55,3,speciesBC,0.59
72,129.55,3,speciesSIB,5.68
72,129.55,3,genusRT,13.08
72,129.55,3,genusBC,5.14
72,129.55,3,genusSIB,9.49
73,123.95,3,speciesRT,2.61
73,123.95,3,speciesBC,1.83
73,123.95,3,speciesSIB,1
73,123.95,3,genusRT,8.14
73,123.95,3,genusBC,7.56
73,123.95,3,genusSIB,1
74,117.3,3,speciesRT,8.33
74,117.3,3,speciesBC,1.91
74,117.3,3,speciesSIB,7.06
74,117.3,3,genusRT,18.29
74,117.3,3,genusBC,7.67
74,117.3,3,genusSIB,12.99
75,106.85,3,speciesRT,12.37
75,106.85,3,speciesBC,3.11
75,106.85,3,speciesSIB,11.08
75,106.85,3,genusRT,23.06
75,106.85,3,genusBC,10.57
75,106.85,3,genusSIB,15.87
76,97.2,3,speciesRT,18.48
76,97.2,3,speciesBC,3.39
76,97.2,3,speciesSIB,16.98
76,97.2,3,genusRT,31.73
76,97.2,3,genusBC,11.4
76,97.2,3,genusSIB,24.04
77,91.645,3,speciesRT,15.58
77,91.645,3,speciesBC,5.25
77,91.645,3,speciesSIB,13.12
77,91.645,3,genusRT,29.05
77,91.645,3,genusBC,14.64
77,91.645,3,genusSIB,19.66
78,87.545,3,speciesRT,25.74
78,87.545,3,speciesBC,5.96
78,87.545,3,speciesSIB,23.46
78,87.545,3,genusRT,42.02
