"","stg","mid_age","metric","diversity"
"155",82,63.85,"BC_species_sqs",0.364
"156",82,63.85,"SIB_species_sqs",2.417
"157",83,58.83,"RT_genus",49
"158",83,58.83,"BC_genus",21
"159",83,58.83,"SIB_genus",30
"160",83,58.83,"RT_species",27
"161",83,58.83,"BC_species",2
"162",83,58.83,"SIB_species",25
"163",83,58.83,"RT_genus_sqs",16.382
"164",83,58.83,"BC_genus_sqs",2.313
"165",83,58.83,"SIB_genus_sqs",14.182
"166",83,58.83,"RT_species_sqs",12.591
"167",83,58.83,"BC_species_sqs",0.495
"168",83,58.83,"SIB_species_sqs",12.096
"169",84,52.035,"RT_genus",82
"170",84,52.035,"BC_genus",33
"171",84,52.035,"SIB_genus",58
"172",84,52.035,"RT_species",57
"173",84,52.035,"BC_species",12
"174",84,52.035,"SIB_species",53
"175",84,52.035,"RT_genus_sqs",19.85
"176",84,52.035,"BC_genus_sqs",4.847
"177",84,52.035,"SIB_genus_sqs",16.41
"178",84,52.035,"RT_species_sqs",16.388
"179",84,52.035,"BC_species_sqs",1.97
"180",84,52.035,"SIB_species_sqs",15.609
"181",85,44.55,"RT_genus",244
"182",85,44.55,"BC_genus",71
"183",85,44.55,"SIB_genus",240
"184",85,44.55,"RT_species",161
"185",85,44.55,"BC_species",47
"186",85,44.55,"SIB_species",160
"187",85,44.55,"RT_genus_sqs",37.612
"188",85,44.55,"BC_genus_sqs",7.741
"189",85,44.55,"SIB_genus_sqs",35.676
"190",85,44.55,"RT_species_sqs",23.129
"191",85,44.55,"BC_species_sqs",4.403
"192",85,44.55,"SIB_species_sqs",22.831
"193",86,39.37,"RT_genus",76
"194",86,39.37,"BC_genus",76
"195",86,39.37,"SIB_genus",0
"196",86,39.37,"RT_species",27
"197",86,39.37,"BC_species",27
"198",86,39.37,"SIB_species",0
"199",86,39.37,"RT_genus_sqs",5.351
"200",86,39.37,"BC_genus_sqs",5.351
"201",86,39.37,"SIB_genus_sqs",0
"202",86,39.37,"RT_species_sqs",0.976
"203",86,39.37,"BC_species_sqs",0.976
"204",86,39.37,"SIB_species_sqs",0
"205",87,35.805,"RT_genus",76
"206",87,35.805,"BC_genus",76
"207",87,35.805,"SIB_genus",3
"208",87,35.805,"RT_species",27
"209",87,35.805,"BC_species",27
"210",87,35.805,"SIB_species",3
"211",87,35.805,"RT_genus_sqs",6.074
"212",87,35.805,"BC_genus_sqs",5.351
"213",87,35.805,"SIB_genus_sqs",1
"214",87,35.805,"RT_species_sqs",1.698
"215",87,35.805,"BC_species_sqs",0.976
"216",87,35.805,"SIB_species_sqs",1
"217",88,30.595,"RT_genus",164
"218",88,30.595,"BC_genus",76
"219",88,30.595,"SIB_genus",139
"220",88,30.595,"RT_species",99
"221",88,30.595,"BC_species",27
"222",88,30.595,"SIB_species",87
"223",88,30.595,"RT_genus_sqs",15.186
"224",88,30.595,"BC_genus_sqs",5.417
"225",88,30.595,"SIB_genus_sqs",11.316
"226",88,30.595,"RT_species_sqs",7.147
"227",88,30.595,"BC_species_sqs",1.016
"228",88,30.595,"SIB_species_sqs",6.543
"229",89,25.165,"RT_genus",107
"230",89,25.165,"BC_genus",107
"231",89,25.165,"SIB_genus",0
"232",89,25.165,"RT_species",51
"233",89,25.165,"BC_species",51
"234",89,25.165,"SIB_species",0
"235",89,25.165,"RT_genus_sqs",7.335
"236",89,25.165,"BC_genus_sqs",7.335
"237",89,25.165,"SIB_genus_sqs",0
"238",89,25.165,"RT_species_sqs",2.366
"239",89,25.165,"BC_species_sqs",2.366
"240",89,25.165,"SIB_species_sqs",0
"241",90,19.515,"RT_genus",178
"242",90,19.515,"BC_genus",107
"243",90,19.515,"SIB_genus",142
"244",90,19.515,"RT_species",114
"245",90,19.515,"BC_species",51
"246",90,19.515,"SIB_species",100
"247",90,19.515,"RT_genus_sqs",21.345
"248",90,19.515,"BC_genus_sqs",7.335
"249",90,19.515,"SIB_genus_sqs",16.806
"250",90,19.515,"RT_species_sqs",12.847
"251",90,19.515,"BC_species_sqs",2.366
"252",90,19.515,"SIB_species_sqs",11.881
"253",91,13.81,"RT_genus",220
"254",91,13.81,"BC_genus",153
"255",91,13.81,"SIB_genus",185
"256",91,13.81,"RT_species",148
"257",91,13.81,"BC_species",93
"258",91,13.81,"SIB_species",128
"259",91,13.81,"RT_genus_sqs",21.278
"260",91,13.81,"BC_genus_sqs",10.41
"261",91,13.81,"SIB_genus_sqs",16.334
"262",91,13.81,"RT_species_sqs",12.298
"263",91,13.81,"BC_species_sqs",4.878
"264",91,13.81,"SIB_species_sqs",10.444
"265",92,8.48,"RT_genus",251
"266",92,8.48,"BC_genus",154
"267",92,8.48,"SIB_genus",245
"268",92,8.48,"RT_species",178
"269",92,8.48,"BC_species",96
"270",92,8.48,"SIB_species",174
"271",92,8.48,"RT_genus_sqs",20.533
"272",92,8.48,"BC_genus_sqs",8.914
"273",92,8.48,"SIB_genus_sqs",18.509
"274",92,8.48,"RT_species_sqs",12.539
"275",92,8.48,"BC_species_sqs",4.312
"276",92,8.48,"SIB_species_sqs",11.472
"277",93,3.96,"RT_genus",66
"278",93,3.96,"BC_genus",65
"279",93,3.96,"SIB_genus",22
"280",93,3.96,"RT_species",49
"281",93,3.96,"BC_species",48
"282",93,3.96,"SIB_species",20
"283",93,3.96,"RT_genus_sqs",7.068
"284",93,3.96,"BC_genus_sqs",5.11
"285",93,3.96,"SIB_genus_sqs",3.518
"286",93,3.96,"RT_species_sqs",4.881
"287",93,3.96,"BC_species_sqs",2.983
"288",93,3.96,"SIB_species_sqs",3.376
"289",94,1.30085,"RT_genus",79
"290",94,1.30085,"BC_genus",52
"291",94,1.30085,"SIB_genus",79
"292",94,1.30085,"RT_species",58
"293",94,1.30085,"BC_species",37
"294",94,1.30085,"SIB_species",58
"295",94,1.30085,"RT_genus_sqs",13.98
"296",94,1.30085,"BC_genus_sqs",4.143
"297",94,1.30085,"SIB_genus_sqs",13.98
"298",94,1.30085,"RT_species_sqs",9.512
"299",94,1.30085,"BC_species_sqs",2.087
"300",94,1.30085,"SIB_species_sqs",9.512
